City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
172,punta arenas,-53.15,-70.9167,2.05,82,100,3.06,CL,1689729863
173,norton,-17.8833,30.7,7.01,56,0,2.51,ZW,1689729977
174,west island,-12.1568,96.8225,25.99,83,75,6.69,CC,1689729977
175,makassar,-5.14,119.4221,29.03,65,20,2.06,ID,1689729977
176,fort bragg,35.139,-79.006,29.91,70,0,3.09,US,1689729874
177,klyuchi,52.2667,79.1667,20.73,52,100,3.47,RU,1689729977
178,hobyo,5.3505,48.5268,24.8,83,86,9.99,SO,1689729977
179,andovoranto,-18.95,49.1,19.23,89,35,3.6,MG,1689729977
180,sao joao da barra,-21.6403,-41.0511,20.85,92,80,2.76,BR,1689729977
181,fort mcmurray,56.7268,-111.381,24.77,46,0,1.03,CA,1689729926
182,wawa,9.9022,4.4192,22.24,93,100,4.47,NG,1689729734
183,oban,56.4127,-5.4706,7.43,88,77,1.13,GB,1689729978
184,icano,-28.9193,-65.3282,8.84,67,96,4.3,AR,1689729978
185,patong,7.8961,98.2966,28.08,82,100,10.29,TH,1689729978
186,tindouf,27.6711,-8.1474,31.25,37,15,7.2,DZ,1689729978
187,kiunga,-6.1219,141.2906,24.34,86,100,1.46,PG,1689729979
188,torre del lago puccini,43.8281,10.2912,24.5,88,0,1.54,IT,1689729979
189,kosh-agach,50.0,88.6667,16.57,54,0,0.67,RU,1689729980
190,vilyuysk,63.7553,121.6247,17.24,55,100,2.91,RU,1689729980
191,saudarkrokur,65.7461,-19.6394,5.2,89,50,1.25,IS,1689729980
192,walvis bay,-22.9575,14.5053,11.53,93,0,1.54,NA,1689729980
193,sittwe,20.15,92.9,27.04,87,73,5.57,MM,1689729980
194,ed damer,17.5928,33.9592,34.33,12,93,4.2,SD,1689729980
195,chonchi,-42.6128,-73.8092,6.73,98,100,3.21,CL,1689729981
196,sola,-13.8833,167.55,25.7,83,56,10.03,VU,1689729981
197,weno,7.4515,151.8468,29.97,79,100,3.09,FM,1689729981
198,bardai,11.65,7.2333,23.17,78,98,3.69,NG,1689729981
199,vernon,50.2581,-119.2691,29.4,30,17,1.03,CA,1689729981
200,kurtamysh,54.9103,64.4319,15.01,96,24,3.91,RU,1689729981
201,vila do maio,15.1333,-23.2167,25.44,78,100,4.99,CV,1689729981
202,smara,26.7384,-11.6719,24.13,68,5,5.03,EH,1689729982
203,nova vicosa,-17.8919,-39.3719,21.73,88,0,3.58,BR,1689729982
204,hastings,50.8552,0.5729,17.29,32,100,4.45,GB,1689729982
205,hakha,22.65,93.6167,19.15,85,8,0.02,MM,1689729982
206,lihue,21.9789,-159.3672,29.77,67,75,10.29,US,1689729982
207,axim,4.8699,-2.2405,24.54,91,70,4.25,GH,1689729982
208,alibag,18.6411,72.8792,28.04,94,100,8.08,IN,1689729983
209,bamboo flat,11.7,92.7167,29.05,79,75,5.66,IN,1689729983
210,malvan,16.0667,73.4667,25.7,89,100,8.6,IN,1689729983
211,tsiombe,-25.3,45.4833,17.7,83,0,2.35,MG,1689729700
212,mundybash,53.211,87.2983,19.1,66,98,0.91,RU,1689729983
213,el porvenir,13.7617,-87.3458,27.63,58,86,2.53,HN,1689729983
214,manvi,15.9833,77.05,21.86,91,100,5.94,IN,1689729983
215,ponta pora,-22.5361,-55.7256,12.24,75,91,1.48,BR,1689729984
216,ilha de mocambique,-15.0342,40.7358,22.9,79,14,6.35,MZ,1689729984
217,belmonte,-15.8631,-38.8828,22.17,79,4,2.3,BR,1689729984
218,abqaiq,25.9371,49.6776,32.41,24,2,2.17,SA,1689729984
219,mount isa,-20.7333,139.5,22.87,43,80,6.17,AU,1689729984
220,kidal,18.4411,1.4078,32.97,27,44,4.27,ML,1689729797
221,beau vallon,-20.4189,57.6953,23.13,78,75,5.14,MU,1689729985
222,wusong,30.95,117.7833,26.69,89,100,0.87,CN,1689729985
223,ribeira brava,32.65,-17.0667,22.62,73,46,1.88,PT,1689729985
224,petrolina,-9.3986,-40.5008,26.03,47,0,2.57,BR,1689729985
225,tughyl,47.7252,84.2063,21.48,52,0,0.47,KZ,1689729985
226,barvinkove,48.9097,37.0205,17.43,90,78,3.37,UA,1689729985
227,uklana,29.5167,75.8667,28.45,77,92,3.87,IN,1689729986
228,micheweni,-4.9667,39.8333,24.57,79,8,5.86,TZ,1689729986
229,staryye ozinki,51.1786,49.6769,16.93,85,6,4.35,RU,1689729986
230,dodge city,37.7528,-100.0171,33.68,59,0,7.2,US,1689729986
231,gorontalo,0.5412,123.0595,27.96,77,100,1.05,ID,1689729986
232,guerrero negro,27.9769,-114.0611,22.67,70,6,8.85,MX,1689729986
233,dudinka,69.4058,86.1778,10.48,88,100,3.44,RU,1689729986
234,ancud,-41.8697,-73.8203,11.17,89,100,12.44,CL,1689729986
235,dali,25.7,100.1833,21.02,54,100,1.34,CN,1689729987
236,makar'yev,57.8797,43.8069,15.53,87,99,2.49,RU,1689729987
